channel_id,timeline_id,Item_Id,Date,title,Twitter_account,Tweet_Id,Twitter_link
428,1219675,12787,2/23/17 21:28,Tweet by Chris Roper,ChrisRoper,8.34736E+17,https://twitter.com/ChrisRoper/status/834735632756924417
428,1219674,12787,2/23/17 21:28,Tweet by Chris Roper,ChrisRoper,8.34736E+17,https://twitter.com/ChrisRoper/status/834736354437259264
428,1219673,12787,2/23/17 21:28,Retweet by supadada,tulanana,8.34861E+17,https://twitter.com/tulanana/status/834861312517763072
428,1213845,12942,2/16/17 8:14,Comment by Nora,,,
428,1179003,12942,1/23/17 8:59,Tweet by Aceval,Acevalmx,8.23521E+17,https://twitter.com/Acevalmx/status/823521224802373632
428,1178838,12942,1/23/17 6:14,Retweet by Muhammad Ali,alexander07141,8.23488E+17,https://twitter.com/alexander07141/status/823488383741820933
428,1178533,12942,1/23/17 3:38,Retweet by Cris H,lunetatripolar,8.23408E+17,https://twitter.com/lunetatripolar/status/823407987435962368
428,1178056,12942,1/22/17 21:31,Retweet by World Bank Pubs,WBPubs,8.23342E+17,https://twitter.com/WBPubs/status/823342056768733184
428,1178055,12942,1/22/17 21:31,Tweet by Udit.Economics,Udit_Eco,8.23343E+17,https://twitter.com/Udit_Eco/status/823343041729667072
428,1177310,12942,1/22/17 12:24,Retweet by Dilipsing Bayas,dilipbayas,8.23174E+17,https://twitter.com/dilipbayas/status/823174153352122368
428,1177113,12942,1/22/17 9:09,Tweet by World Bank Gov,wbg_gov,8.23169E+17,https://twitter.com/wbg_gov/status/823168727814381570
428,1165391,12942,1/18/17 15:13,Retweet by Aminu Abubakr,dandigijin,8.21774E+17,https://twitter.com/dandigijin/status/821774456859328514
428,1165390,12942,1/18/17 15:13,Retweet by ECOSISI,ecosising,8.21788E+17,https://twitter.com/ecosising/status/821788289443172352
428,1165389,12942,1/18/17 15:13,Retweet by Emmanuel Osei,Mennelo,8.21801E+17,https://twitter.com/Mennelo/status/821800651835449344
428,1164783,12942,1/18/17 12:06,Tweet by World Bank Gov,wbg_gov,8.21764E+17,https://twitter.com/wbg_gov/status/821764403666317313
428,1159505,12942,1/17/17 9:01,Retweet by Ololade Adegoke,OloladeOO8,8.21328E+17,https://twitter.com/OloladeOO8/status/821328392641531904
428,1159504,12942,1/17/17 9:01,Retweet by Javier de la Vega O.,Dr_JAVOMx,8.21338E+17,https://twitter.com/Dr_JAVOMx/status/821338309595201536
428,1158982,12942,1/17/17 6:09,Retweet by iqbal javed,iqbaljaved200,8.21297E+17,https://twitter.com/iqbaljaved200/status/821296806009126912
428,1158232,12942,1/17/17 3:15,Retweet by Nuru Kalufya,nkalufya,8.21237E+17,https://twitter.com/nkalufya/status/821237193754742784
428,1157655,12942,1/17/17 0:06,Retweet by Mustafa Lekishon,MustafaLekishon,8.2109E+17,https://twitter.com/MustafaLekishon/status/821090440040640514
428,1157654,12942,1/17/17 0:06,Retweet by AndrÃ©s SÃ¡nchez,anferchez90,8.21205E+17,https://twitter.com/anferchez90/status/821204988508733441
428,1157653,12942,1/17/17 0:06,Tweet by World Bank Gov,wbg_gov,8.21085E+17,https://twitter.com/wbg_gov/status/821085028121776129
428,1157652,12942,1/17/17 0:06,Retweet by Yashvant  Patel,Aapaawaambaa,8.21097E+17,https://twitter.com/Aapaawaambaa/status/821097480330891265
428,1157651,12942,1/17/17 0:06,Retweet by World Bank Pubs,WBPubs,8.21205E+17,https://twitter.com/WBPubs/status/821204850771972096
428,1157650,12942,1/17/17 0:06,Tweet by Udit.Economics,Udit_Eco,8.21206E+17,https://twitter.com/Udit_Eco/status/821205754845728777
428,1157649,12942,1/17/17 0:06,Retweet by Hector A. Latorre S.,hectorandres,8.21206E+17,https://twitter.com/hectorandres/status/821205767198044164
428,1116383,12942,1/8/17 3:19,Retweet by THE WORLD BANK,TheWorldBank404,8.17986E+17,https://twitter.com/TheWorldBank404/status/817986380416499712
428,1110642,12942,1/6/17 21:09,Tweet by World Bank Gov,wbg_gov,8.17457E+17,https://twitter.com/wbg_gov/status/817457080063971328
428,1110641,12942,1/6/17 21:09,Retweet by ECOSISI,ecosising,8.17482E+17,https://twitter.com/ecosising/status/817482283796090880
428,1089950,12942,1/2/17 12:21,Retweet by Ronald,munron43,8.15946E+17,https://twitter.com/munron43/status/815946161861394432
428,1087451,12942,1/1/17 21:11,Retweet by Yashvant  Patel,Aapaawaambaa,8.15719E+17,https://twitter.com/Aapaawaambaa/status/815718983408242690
428,1085973,12942,1/1/17 12:34,Retweet by Pras,pstyd,8.15566E+17,https://twitter.com/pstyd/status/815566367000645632
428,1085453,12942,1/1/17 9:15,Tweet by World Bank Gov,wbg_gov,8.15559E+17,https://twitter.com/wbg_gov/status/815558559240953857
428,1072662,12942,12/29/16 14:49,Tweet by World Bank Gov,wbg_gov,8.13867E+17,https://twitter.com/wbg_gov/status/813867352756469760
428,1072661,12942,12/29/16 14:49,Retweet by ECOSISI,ecosising,8.13871E+17,https://twitter.com/ecosising/status/813870822485999616
428,903699,12787,11/27/16 16:08,Retweet by Mounir Rajil,MounirRajil,8.01892E+17,https://twitter.com/MounirRajil/status/801892163223257088
428,798078,12787,11/9/16 9:19,Tweet by EstevÃ£o Novais,Tevao2016,7.95804E+17,https://twitter.com/Tevao2016/status/795803799935995904
428,798077,12787,11/9/16 9:19,Tweet by EstevÃ£o Novais,Tevao2016,7.95804E+17,https://twitter.com/Tevao2016/status/795804061039792128
428,770924,12942,11/5/16 4:41,Tweet by Yu Wui Wui  ä_™è–‡è–‡,wuiwuiyu,7.93622E+17,https://twitter.com/wuiwuiyu/status/793622152511533056
428,765659,12787,11/4/16 7:41,Tweet by Hamzy! #SaveBama,HamzyCODE,7.94467E+17,https://twitter.com/HamzyCODE/status/794467039922503680
428,745939,12787,11/1/16 13:39,Tweet by Fanack,FanackMENA,7.93481E+17,https://twitter.com/FanackMENA/status/793480937942224896
428,737587,12787,10/31/16 7:41,Retweet by Sara Bar-rhout,BSarabetty,7.93032E+17,https://twitter.com/BSarabetty/status/793032310937546752
428,732836,12787,10/30/16 13:43,Tweet by wafaÃ¢ bendahmane,wafaa3d,7.92756E+17,https://twitter.com/wafaa3d/status/792755655069360129
428,728280,12787,10/29/16 20:01,Retweet by Miguel Castro,miguel_castro,7.92495E+17,https://twitter.com/miguel_castro/status/792494567945887744
428,721624,12787,10/28/16 19:46,Retweet by wafaÃ¢ bendahmane,wafaa3d,7.92105E+17,https://twitter.com/wafaa3d/status/792104855544426496
428,721623,12787,10/28/16 19:46,Retweet by wafaÃ¢ bendahmane,wafaa3d,7.92105E+17,https://twitter.com/wafaa3d/status/792104897307144192
428,721622,12787,10/28/16 19:46,Retweet by wafaÃ¢ bendahmane,wafaa3d,7.92105E+17,https://twitter.com/wafaa3d/status/792104974255808513
428,721621,12787,10/28/16 19:46,Retweet by wafaÃ¢ bendahmane,wafaa3d,7.92105E+17,https://twitter.com/wafaa3d/status/792105034821533697
